Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-07
Horizontal Delay,0.0527
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.04
,
,
,
Label,
TIME,CH1
5.269837e-02,1.54
5.269837e-02,1.54
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.54
5.269837e-02,1.54
5.269837e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.52
5.269838e-02,1.52
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.52
5.269838e-02,1.52
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.52
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.56
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.56
5.269838e-02,1.56
5.269838e-02,1.52
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.54
5.269838e-02,1.56
5.269839e-02,1.56
5.269839e-02,1.54
5.269839e-02,1.54
5.269839e-02,1.54
5.269839e-02,1.54
5.269839e-02,1.56
5.269839e-02,1.56
5.269839e-02,1.54
5.269839e-02,1.54
5.269839e-02,1.56
5.269839e-02,1.56
5.269839e-02,1.54
5.269839e-02,1.58
5.269839e-02,1.56
5.269839e-02,1.56
5.269839e-02,1.58
5.269839e-02,1.54
5.269839e-02,1.58
5.269839e-02,1.56
5.269839e-02,1.56
5.269839e-02,1.56
5.269839e-02,1.56
5.269839e-02,1.6
5.269839e-02,1.58
5.269839e-02,1.56
5.269840e-02,1.54
5.269840e-02,1.56
5.269840e-02,1.56
5.269840e-02,1.58
5.269840e-02,1.58
5.269840e-02,1.56
5.269840e-02,1.56
5.269840e-02,1.54
5.269840e-02,1.58
5.269840e-02,1.58
5.269840e-02,1.54
5.269840e-02,1.58
5.269840e-02,1.58
5.269840e-02,1.56
5.269840e-02,1.58
5.269840e-02,1.56
5.269840e-02,1.56
5.269840e-02,1.56
5.269840e-02,1.56
5.269840e-02,1.58
5.269840e-02,1.58
5.269840e-02,1.56
5.269840e-02,1.58
5.269840e-02,1.58
5.269840e-02,1.56
5.269841e-02,1.56
5.269841e-02,1.56
5.269841e-02,1.58
5.269841e-02,1.56
5.269841e-02,1.56
5.269841e-02,1.56
5.269841e-02,1.58
5.269841e-02,1.58
5.269841e-02,1.54
5.269841e-02,1.56
5.269841e-02,1.58
5.269841e-02,1.58
5.269841e-02,1.58
5.269841e-02,1.58
5.269841e-02,1.58
5.269841e-02,1.56
5.269841e-02,1.56
5.269841e-02,1.58
5.269841e-02,1.56
5.269841e-02,1.56
5.269841e-02,1.56
5.269841e-02,1.58
5.269841e-02,1.56
5.269841e-02,1.58
5.269841e-02,1.56
5.269842e-02,1.54
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.54
5.269842e-02,1.56
5.269842e-02,1.58
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.54
5.269842e-02,1.58
5.269842e-02,1.58
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.54
5.269842e-02,1.54
5.269842e-02,1.56
5.269842e-02,1.56
5.269842e-02,1.54
5.269843e-02,1.54
5.269843e-02,1.54
5.269843e-02,1.56
5.269843e-02,1.56
5.269843e-02,1.54
5.269843e-02,1.54
5.269843e-02,1.54
5.269843e-02,1.56
5.269843e-02,1.54
5.269843e-02,1.5
5.269843e-02,1.54
